"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Honduras","HND","Importaciones de bienes y servicios (US$ a precios constantes de 2015)","NE.IMP.GNFS.KD","101943043.323953","96522025.1843404","74689662.3450253","121436280.93374","108591480.78907","149508780.520466","153350843.793986","151622499.596928","158238809.681242","167532879.895372","171076968.775003","178391891.662216","192973662.393236","220479730.33378","265333851.277249","274711791.983783","299631153.018515","304193421.890795","310327313.869947","365428167.561041","434388736.49258","469281728.04429","475689602.248897","513530260.494118","520420818.108126","528705118.047923","500506013.649533","487833633.756925","573312383.849789","744804937.527258","1078833781.95321","1233949205.1819","1291327781.92688","1770409712.47267","2533338000.8597","3042210014.48975","4204499894.21204","5539649570.12494","6014986341.83241","6392132515.88544","7073370318.05288","7326890409.71809","7759372321.11216","8371255393.86696","9724587380.6309","10076210461.6861","10484908014.7364","11626357514.4923","11903162712.6468","8783427739.82397","10118926450.3487","11400595825.9318","12116413149.7359","11620066941.1268","12011021083.2717","13027957170.5398","12823263910.235","13741737546.778","14363016539.4326","14148078631.0756","11652737982.4789","15457186888.5766","16772445928.9239","15321969516.3304","15679513724.3788","",
"Honduras","HND","Formación bruta de capital (UMN a precios constantes)","NE.GDI.TOTL.KN","2534105230.80076","2475549668.87417","2108673091.17865","846245815.39933","752325352.057118","995748557.54631","1020510892.35257","1048611817.9248","1072867342.2386","1108504851.21585","1171551360.50894","1194641148.32536","1278760080.64516","1322134224.57352","1564426209.0864","1676112177.84028","1996461525.06964","2056836755.92142","2160876807.75346","2483915739.53333","2899383753.5014","3282079071.74957","3528325315.57091","3568211460.21259","3793937418.51369","3841050814.5431","3985882352.94118","4073008381.07126","4261372388.84351","4637746371.85624","6452275261.50905","7678223840.35391","8291995382.60168","10015323002.4213","12685740445.3896","14989525052.2841","19157549350.388","23661621864.3817","25570998923.9337","28268828656.6839","30170800000","28993800000","27670500000","29017200000","35381800000","34974300000","37498200000","46745100000","50907100000","28384700000","31793100000","39463100000","38396200000","34002400000","37191100000","45532200000","43172800000","48594500000","52416600000","46001300000","38415100000","50066000000","55833200000","46446300000","53568500000","",
"Honduras","HND","Formación bruta de capital (US$ a precios actuales)","NE.GDI.TOTL.CD","166600000","155600000","181100000","70500000","77000000","91000000","105900000","141100000","134600000","160550000","191350000","150000000","157099293.053181","198249900.87505","318800000","266100000","255350000","436100000","584650000","672050000","746400000","681150000","518600000","535150000","682600000","704900000","613000000","769050000","888884120.171674","782586206.896552","777310311.284047","797073372.580736","967405736.735845","1290465155.53782","1373810769.66987","1285391032.32534","1307119932.43243","1593688212.92776","1769763663.22009","2068536585.36585","2032987155.19057","1989374435.64814","1906290042.90184","2080715553.70837","2631127048.87086","2695177264.72894","3094223678.29981","4161454557.00155","5006581231.09701","3004943080.48118","3465623362.67075","4604670198.06692","4551392788.01164","4025606252.28367","4382756350.33576","5269700515.03349","5076952424.56126","5742581752.59219","6395303498.4124","5714873497.76337","4592537080.46182","6819634124.73552","8273292593.10899","7622327074.28084","8343209291.30126","",
"Honduras","HND","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","33.9535372647955","29.9026425591099","33.2425579866654","11.7163504968383","12.146844865505","12.1342446816681","13.6025428014159","16.7720886876623","15.4331963946287","17.8233064898153","18.0948695267581","15.8693724242266","14.2628438364139","16.3476025879642","19.0024135156879","20.5894515243788","20.4838608192286","21.2711106434471","23.0944373655296","22.0950735902695","23.299522673031","18.4690730481467","16.0961458765023","15.4886669878012","17.7274870344177","16.0802162511841","12.9534009052081","13.1935599426843","15.0589040254739","17.3859938061954","19.2907053223149","18.3745583038869","21.4518904133763","28.1047331319235","27.9774301281141","23.2573346604832","23.2612085564133","24.9839215563114","27.2219333162386","29.6446413936213","25.7724496550534","23.9374508616678","21.5176369123287","22.9262738958309","27.0803523056205","24.9144205577875","27.3263592647173","32.1934757962591","33.5973788273545","22.0079148952844","21.5558696364013","24.4407777503837","24.3710157922338","23.5854202773999","22.2854400331859","23.6830079243241","22.0345380996484","23.532148331901","24.7473556145833","22.8046970698247","18.2840692088973","22.666191471429","22.4910886256308","23.75620763328","23.9265010808856","",
"Honduras","HND","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","323000000","301000000","354000000","129700000","143600000","158000000","188300000","251900000","251700000","301000000","327300000","304200000","294000000","368900000","472400000","547700000","651100000","808600000","1105600000","1228000000","1483900000","1293500000","1165200000","1189700000","1428800000","1392000000","1219200000","1325900000","1716700000","2206300000","2962300000","3614000000","4862500000","7674700000","9658900000","10421100000","13216600000","18296900000","22718500000","27200500000","27487400000","28345700000","27793600000","32742800000","43736800000","45779600000","56371000000","75193400000","88165200000","60660900000","64513700000","81883400000","88064300000","88808400000","92402900000","109037800000","109274100000","127874400000","142367800000","139069200000","104958200000","153208200000","173067600000","200789700000","220098400000","",
"Honduras","HND","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","18.4274151161568","20.8623087621697","21.0348389520143","27.2357723577236","28.9967856538657","35.1585899700484","37.3835151340027","37.2461548704974","38.5737936108897","35.8064898152534","35.15590446705","36.4286086911159","36.4478727016931","41.4295843304086","42.7353177795656","42.0021803691591","45.1550997294406","47.9691692534329","46.3016731769473","48.3680593040412","47.3699912071348","40.6405277285967","33.4148363033568","32.9718399708375","32.8333209260776","32.1893122010951","33.7115658400799","29.7394921190893","34.1783699857016","39.3921245695463","47.3629372041078","44.7319317690724","41.5679181188512","45.4607708504989","53.1481089911626","56.8767045023411","60.6949885776037","59.7252395380878","59.1772250487079","53.8257232287652","53.972182998888","51.3817002306282","52.730582054494","54.0940274951722","58.4229834527808","59.0058417153113","56.0546420538277","53.5090115392915","51.3252766875914","39.5302508197518","45.7589061967483","51.2576866755535","50.9027988216362","47.9414903194725","47.5626547300206","45.1667574562581","42.7141047814182","43.0938548370178","41.4548165613247","40.2189637388964","35.8751401030378","39.3653983599255","42.4391817948962","37.3686804713719","33.5491009940495","",
"Honduras","HND","Exportaciones de bienes y servicios (UMN a precios actuales)","NE.EXP.GNFS.CN","175300000","210000000","224000000","301500000","342800000","457800000","517500000","559400000","629100000","604700000","635900000","698300000","751300000","934900000","1062400000","1117300000","1435300000","1823500000","2216600000","2688200000","3016900000","2846300000","2418900000","2532600000","2646300000","2786500000","3173000000","2988700000","3896300000","4998900000","7273100000","8798100000","9422200000","12414200000","18348800000","25485200000","34485800000","43739600000","49387300000","49387900000","57563600000","60844000000","68110300000","77255900000","94357500000","108421700000","115634000000","124979500000","134686200000","108958100000","136950000000","171727500000","183936500000","180518600000","197210700000","207950100000","211828600000","234173300000","238483300000","245266100000","205938300000","266083600000","326567000000","315843600000","308616100000","",
"Honduras","HND","Gasto nacional bruto (US$ a precios constantes de 2015)","NE.DAB.TOTL.KD","559674026.159993","553207488.656054","554894471.020469","517083057.217583","517089327.092031","522950928.544824","526859285.276467","539351369.586733","542999736.769058","565639193.759442","580064281.323125","607708581.638825","639426101.400604","654148094.067322","748125551.532215","768506983.261967","870744659.438554","910275397.54724","986601412.219995","1149729347.81651","1304950620.43896","1494644744.51107","1584909740.62192","1709756988.56058","1735646700.13534","1823863192.96789","1837263242.89915","1899801235.61895","1984022825.25148","2159959217.88692","2648329131.01538","3238269346.00158","3587432614.31921","4185531645.36922","5160219602.01389","6495110014.49704","8231086725.44156","10314363452.5284","11326435933.5931","12588393734.6305","13903093262.8048","14270341556.7683","14555285365.2869","15198794685.8294","16532236156.3271","17328129012.6306","18668303014.9116","20761015301.3179","21736607203.9584","19325313257.8154","20171454534.5248","21523678389.0467","22070881364.4338","22209183992.3943","22893481485.0471","24531857230.5757","25040985280.2471","26594887122.4484","28056149135.4528","28314658049.2352","26002740633.9182","30839562441.7523","32573567720.7076","32856368915.5327","34911844840.1997","",
"Honduras","HND","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","64.4591611479029","65.7858136300417","62.6631608601747","86.5040650406504","85.2985958382676","80.9845633975885","81.7163909557177","78.9400093215261","81.2557483598013","81.0457129322596","83.4697036709421","81.2874954353383","79.3382816669092","79.6463706461048","84.9557522123894","88.2598398556445","85.8837223935066","78.2106592308097","76.7969419088004","76.3737450070172","80.8346941339028","84.533668399109","84.6346180411659","87.040918618427","87.9289808680116","86.8181503130559","86.3336945666263","85.7785384492915","82.3051079395433","82.9284245199013","78.6820872487155","78.5830134478989","78.1581153218335","76.5339192529525","74.6804387685053","73.2734032913912","74.096856289006","73.39935850082","75.6296086828363","81.4999040926291","84.1592736151038","87.1788115933951","88.2778520143752","88.7793398301892","88.9502345092333","90.8549454305204","92.680815171023","94.3873968605181","97.0324319813244","97.2448792267377","96.0441851606824","93.701627148553","94.8183540266529","98.6627694206768","95.6659555969308","91.8129074128615","91.0103788519926","90.8047066357749","94.0694601926802","96.0543400013446","96.5842208703269","100.410913690076","101.493916587535","101.868187930707","101.519621069302","",
"Honduras","HND","Gasto de consumo final (UMN a precios actuales)","NE.CON.TOTL.CN","613200000","662200000","667300000","957600000","1008400000","1054500000","1131200000","1185600000","1325200000","1368700000","1509800000","1558200000","1635400000","1797300000","2112000000","2347800000","2729900000","2973100000","3676500000","4244700000","5148200000","5920400000","6126700000","6685700000","7086900000","7515500000","8125900000","8620400000","9382700000","10523700000","12082500000","15456100000","17716100000","20899500000","25782600000","32832200000","42100500000","53753800000","63117900000","74780400000","89759400000","103233400000","114025500000","126792700000","143661300000","166943600000","191189400000","220458000000","254629500000","268038200000","287446800000","313926500000","342624700000","371504200000","396663100000","422711400000","451340400000","493435500000","541167400000","585765300000","554433800000","678710200000","780989700000","860999500000","933872700000","",
